id,name,local_name,cuisine_type,course,community,description,ingredients,ingredient_names,instructions,serving_suggestion,alternative_cooking,
73,Bobotie,Bobotie,african,main,South African,"South African baked dish of spiced minced meat with a creamy egg topping, sweet and savory with curry and dried fruit.",500g ground beef or lamb|2 slices white bread (crusts removed)|250ml milk|2 onions (finely chopped)|2 cloves garlic (minced)|2 tablespoons curry powder|1 teaspoon turmeric|1 teaspoon ground cumin|1 teaspoon ground coriander|1 tablespoon apricot jam|50g raisins or sultanas|50g slivered almonds (optional)|2 tablespoons chutney (Mrs. Balls is traditional)|2 tablespoons lemon juice|2 eggs (for topping)|Salt and black pepper to taste|2 bay leaves,ground beef|bread|milk|onions|garlic|curry powder|turmeric|cumin|coriander|apricot jam|raisins|almonds|chutney|lemon juice|eggs|salt|pepper|bay leaves,"Step 1 - Soak the bread: Place the bread in a small bowl and pour 150ml of milk over it. Let it soak for 5 minutes. Step 2 - Preheat oven to 180°C (350°F). Step 3 - Fry the aromatics: Heat oil in a large skillet over medium heat. Add chopped onions and cook until soft and translucent (about 5 minutes). Add garlic and cook for 1 minute. Step 4 - Add spices: Stir in curry powder, turmeric, cumin, and coriander. Cook for 1 minute until fragrant. Step 5 - Cook the meat: Add ground beef and cook, breaking it up with a spoon, until browned (about 8-10 minutes). Step 6 - Add sweet and savory ingredients: Stir in apricot jam, raisins, almonds (if using), chutney, lemon juice, salt, and pepper. Step 7 - Squeeze the soaked bread to remove excess milk. Crumble the bread into the meat mixture. Stir to combine. Step 8 - Transfer the meat mixture to a greased baking dish (about 20x20cm or similar). Press down gently and smooth the top. Step 9 - Make the egg topping: In a bowl, whisk the remaining 100ml milk with 2 eggs and a pinch of salt and turmeric. Step 10 - Pour the egg mixture over the meat mixture. Place bay leaves on top. Step 11 - Bake for 30-35 minutes until the topping is set, golden brown, and slightly puffed. Step 12 - Let it rest for 5-10 minutes before serving.","Serve hot with yellow rice (rice cooked with turmeric and raisins), chutney, and banana slices.","You can add 2 tablespoons of grated apple or grated carrot to the meat mixture for extra moisture and sweetness. For a lighter version, use half beef and half lamb.",
74,Chakalaka,Chakalaka,african,side,South African,"Spicy South African vegetable relish made with beans, carrots, peppers, and curry spices, often served with bread or pap.",2 carrots (grated)|1 green bell pepper (finely chopped)|1 red bell pepper (finely chopped)|1 onion (finely chopped)|2 tomatoes (chopped)|1 can baked beans (400g) or sugar beans|2 cloves garlic (minced)|1 tablespoon fresh ginger (grated)|2 tablespoons curry powder|1 teaspoon paprika|1 teaspoon cayenne pepper (optional)|2 tablespoons vegetable oil|Salt and black pepper to taste|Fresh coriander for garnish (optional),carrots|bell peppers|onion|tomatoes|baked beans|garlic|ginger|curry powder|paprika|cayenne|oil|salt|pepper|coriander,"Step 1 - Prep all vegetables: Grate carrots, chop bell peppers and onion, mince garlic, and grate ginger. Step 2 - Heat oil in a large skillet or pot over medium heat. Step 3 - Add onion and cook until soft and translucent (about 3-4 minutes). Step 4 - Add garlic and ginger. Cook for 1 minute until fragrant. Step 5 - Add grated carrots and chopped bell peppers. Cook for 5 minutes, stirring occasionally, until slightly softened. Step 6 - Add curry powder, paprika, and cayenne (if using). Stir and cook for 1 minute to toast the spices. Step 7 - Add chopped tomatoes and cook for 3-4 minutes until they break down. Step 8 - Add the baked beans (with their sauce) or drained sugar beans. Stir well to combine. Step 9 - Reduce heat to low and simmer for 10-15 minutes, stirring occasionally, until vegetables are tender and flavors have melded. Step 10 - Add salt and black pepper to taste. Step 11 - Garnish with fresh coriander if desired. Serve warm or at room temperature.","Serve as a side dish with pap (maize porridge), bread, grilled meat (braai), or as a topping for hot dogs and burgers.","You can add cabbage, zucchini, or butternut squash for extra vegetables. Chakalaka tastes even better the next day after flavors develop. Store in refrigerator for up to 5 days.",
75,Sadza,Sadza,african,main,Zimbabwean,"Zimbabwean stiff maize meal porridge, similar to posho/ugali, the staple starch eaten with stews and vegetables.",500g white maize meal (sadza flour or any finely ground cornmeal)|1.5 litres water|1 teaspoon salt (optional),maize meal|water|salt,"Step 1 - Bring water to a boil in a heavy-bottomed pot. Add salt if desired. Step 2 - Gradually add 1 cup of maize meal to the boiling water while stirring continuously with a wooden spoon or traditional wooden paddle (mutwi). Step 3 - Reduce heat to medium. Keep stirring to prevent lumps from forming. The mixture will thicken into a porridge consistency. Step 4 - Cover and cook for 5 minutes. Step 5 - Add the remaining maize meal gradually, a handful at a time, while stirring vigorously. Step 6 - Continue stirring and pressing the mixture against the side of the pot to ensure even cooking. Step 7 - When the sadza becomes thick and starts pulling away from the sides of the pot, reduce heat to low. Step 8 - Cover and let it cook for 5-10 minutes. Do not stir during this time. Step 9 - Uncover and stir again vigorously with the paddle, folding the sadza over itself to incorporate any remaining uncooked flour. Step 10 - Test for doneness: The sadza should be firm, smooth, and not sticky. If too soft, add a little more maize meal and stir. If too stiff, add a splash of hot water. Step 11 - Cover and cook for another 5 minutes. Step 12 - Turn the sadza out onto a plate or serving board. Traditionally, it is flipped out of the pot onto a flat surface. To serve: Wet your hands with water. Scoop a portion of sadza, roll it into a ball, and make an indentation with your thumb. Use this to scoop up stew or sauce.","Serve hot with meat stew, chicken stew, bean sauce, collard greens (muriwo), or any vegetable relish.",You can use a stand mixer with a dough hook to make sadza if you don't have a wooden paddle. The texture should be firmer than mashed potatoes but softer than bread dough.,
76,Nyama Choma,Nyama Choma,african,main,East African,"East African grilled meat (usually goat or beef), slow-roasted over charcoal until crispy outside and tender inside.","1 kg goat meat or beef (ribs or leg, with bone for flavor)|2 tablespoons salt|1 tablespoon black pepper|1 tablespoon garlic powder|1 tablespoon ginger powder|2 teaspoons cayenne pepper (optional)|1 tablespoon curry powder|2 tablespoons vegetable oil|1 lemon (cut into wedges)|For serving: 1 onion (sliced), 2 tomatoes (sliced), 1 chili pepper (chopped)",meat|salt|black pepper|garlic powder|ginger powder|cayenne|curry powder|oil|lemon|onion|tomatoes|chili,"Step 1 - Prepare the meat: Wash the meat and pat dry with paper towels. Cut into large chunks or leave ribs whole. Step 2 - Make the marinade: In a small bowl, mix salt, black pepper, garlic powder, ginger powder, cayenne pepper (if using), curry powder, and vegetable oil to form a paste. Step 3 - Rub the marinade generously all over the meat, ensuring every piece is coated. Step 4 - Cover and refrigerate for at least 4 hours, preferably overnight for best flavor. Step 5 - Prepare the charcoal grill (traditional) or gas grill. The fire should be medium-hot with glowing coals (not flaming). Step 6 - Remove meat from refrigerator 30 minutes before grilling to come to room temperature. Step 7 - Place meat on the grill, bone side down if applicable. Step 8 - Grill for 30-40 minutes, turning every 10 minutes, until the outside is charred and crispy and the inside is cooked through but still juicy. Step 9 - For well-done meat (traditional preference), cook until the meat pulls away from the bone easily, about 45-60 minutes total. Step 10 - Check doneness by cutting into a thick piece. The juices should run clear. Step 11 - Remove from grill and let rest for 10 minutes before serving. Step 12 - Cut into smaller serving pieces if desired. To serve: Squeeze fresh lemon juice over the meat. Serve with sliced onions, tomatoes, and chili pepper on the side.","Serve with kachumbari (fresh tomato and onion salad), ugali/posho, or chapati. Cold beer or soda is the traditional pairing.","You can also roast nyama choma in an oven: Preheat to 200°C (400°F), place meat on a rack over a baking pan, and roast for 45-60 minutes. Chicken nyama choma is also popular; reduce cooking time to 30 minutes.",
77,Spaghetti Bolognese,Spaghetti Bolognese,western,main,Italian,"Classic Italian pasta dish with a slow-cooked meat sauce made from beef, tomatoes, carrots, celery, and red wine.","400g spaghetti pasta|500g ground beef (or half beef, half pork)|2 tablespoons olive oil|1 onion (finely chopped)|2 carrots (finely chopped)|2 celery stalks (finely chopped)|3 cloves garlic (minced)|800g crushed tomatoes|100ml red wine (optional)|100ml milk|2 tablespoons tomato paste|1 bay leaf|1 teaspoon dried oregano|Salt and black pepper to taste|Fresh basil for garnish|Grated Parmesan cheese for serving",spaghetti|ground beef|olive oil|onion|carrots|celery|garlic|crushed tomatoes|red wine|milk|tomato paste|bay leaf|oregano|salt|pepper|basil|Parmesan,"Step 1 - Start the sauce (Bolognese requires slow cooking): Heat olive oil in a large heavy-bottomed pot or Dutch oven over medium heat. Step 2 - Add onion, carrots, and celery (this is called soffritto). Cook for 8-10 minutes, stirring occasionally, until vegetables are soft and onion is translucent. Step 3 - Add minced garlic and cook for 1 minute until fragrant. Step 4 - Add ground beef (and pork if using). Break up the meat with a wooden spoon and cook until browned all over (about 8-10 minutes). Step 5 - Pour in red wine (if using). Scrape the bottom of the pot to release any browned bits. Let the wine bubble and reduce for 2-3 minutes until mostly evaporated. Step 6 - Stir in tomato paste and cook for 2 minutes to deepen the flavor. Step 7 - Add crushed tomatoes, bay leaf, oregano, salt, and pepper. Stir to combine. Step 8 - Bring the sauce to a simmer, then reduce heat to low. Cover partially and cook for 1.5 to 2 hours, stirring occasionally. The longer it cooks, the better the flavor. Step 9 - After 1.5 hours, stir in the milk. This adds richness and balances the acidity of the tomatoes. Continue cooking for another 30 minutes. Step 10 - While sauce is cooking, bring a large pot of salted water to a boil. Step 11 - Cook spaghetti according to package instructions until al dente (firm to the bite). Step 12 - Reserve 1 cup of pasta water before draining. Step 13 - Drain spaghetti and return to the pot. Step 14 - Add a few ladles of Bolognese sauce to the spaghetti. Toss to coat, adding a little pasta water if needed to loosen the sauce. Step 15 - Remove bay leaf from remaining sauce. Step 16 - Serve spaghetti on plates or in bowls. Top with more Bolognese sauce. Step 17 - Garnish with fresh basil and generous grated Parmesan cheese.",Serve hot with extra grated Parmesan cheese on the side and a green salad with garlic bread.,"For a richer sauce, use a mix of ground beef, pork, and pancetta. For a lighter version, use ground turkey and skip the milk. Leftover sauce freezes well for up to 3 months.",
78,Carbonara,Carbonara,western,main,Italian,"Roman pasta dish made with eggs, hard cheese, cured pork (guanciale or pancetta), and black pepper — no cream.",400g spaghetti or rigatoni|150g guanciale or pancetta (diced)|3 large eggs|1 large egg yolk|100g Pecorino Romano cheese (grated)|50g Parmesan cheese (grated)|Freshly ground black pepper|Salt for pasta water,spaghetti|guanciale|eggs|egg yolk|Pecorino Romano|Parmesan|black pepper|salt,"Step 1 - Bring a large pot of salted water to a boil. Use about 1 tablespoon of salt per 4 litres of water. Step 2 - While water is heating, prepare the other ingredients. Step 3 - In a large bowl, whisk together the 3 whole eggs, 1 egg yolk, grated Pecorino Romano, grated Parmesan, and a generous amount of freshly ground black pepper. Whisk until smooth and well combined. Do this while the pasta is cooking. Step 4 - Heat a large skillet over medium heat. Add diced guanciale or pancetta. Step 5 - Cook until the pork is crispy and golden brown, about 5-7 minutes. The fat should render out. Do not drain the fat — it adds flavor. Step 6 - Turn off the heat on the skillet and set aside. Step 7 - Add spaghetti to the boiling water and cook according to package instructions until al dente. Step 8 - Just before draining, reserve 1 cup of the starchy pasta water. Step 9 - Drain the spaghetti (do not rinse). Step 10 - Add the hot drained spaghetti directly into the skillet with the crispy guanciale and rendered fat. Toss to coat the pasta in the fat. Step 11 - Remove the skillet from the heat completely. This is crucial — if the pan is too hot, the eggs will scramble. Step 12 - Pour the egg and cheese mixture over the pasta. Toss quickly and vigorously with tongs to coat every strand. The residual heat from the pasta will cook the eggs gently, creating a creamy sauce. Step 13 - Add the reserved pasta water, a little at a time (about 1/4 cup), while tossing until the sauce becomes silky and coats the pasta beautifully. Do not add too much water. Step 14 - Taste and add more black pepper if needed. The cheese is salty, so additional salt is rarely needed. Step 15 - Serve immediately on warm plates. Carbonara waits for no one — it must be served right away while creamy. Step 16 - Top with extra grated cheese and more black pepper.",Serve immediately with a crisp green salad and crusty bread. Never refrigerate and reheat carbonara as the eggs will scramble.,Traditional Carbonara uses guanciale (cured pork cheek) and Pecorino Romano. Pancetta and Parmesan are acceptable substitutes but change the flavor. Never add cream — authentic Carbonara has no cream.,
79,Mac and Cheese,Mac and Cheese,western,main,American,"Creamy baked macaroni and cheese with a golden, crispy topping — classic American comfort food.",400g elbow macaroni|50g butter|50g all-purpose flour|750ml whole milk (warm)|250g sharp cheddar cheese (grated)|100g Gruyère or mozzarella cheese (grated)|1 teaspoon salt|1/2 teaspoon black pepper|1/2 teaspoon paprika|1/4 teaspoon nutmeg (optional)|50g breadcrumbs (panko or regular)|2 tablespoons Parmesan cheese (grated)|2 tablespoons melted butter (for topping),macaroni|butter|flour|milk|cheddar|Gruyère|salt|pepper|paprika|nutmeg|breadcrumbs|Parmesan,"Step 1 - Preheat oven to 190°C (375°F). Grease a 9x13 inch baking dish. Step 2 - Bring a large pot of salted water to a boil. Step 3 - Cook macaroni according to package instructions until al dente (about 1 minute less than package says, as it will cook more in the oven). Step 4 - Drain pasta and set aside. Do not rinse. Step 5 - Make the cheese sauce (béchamel): In a large saucepan, melt 50g butter over medium heat. Step 6 - Add flour and whisk continuously for 1-2 minutes until the mixture is bubbly and pale golden (this is a roux). Step 7 - Gradually pour in warm milk while whisking constantly to prevent lumps. Step 8 - Continue whisking until the sauce thickens enough to coat the back of a spoon (about 5-7 minutes). Step 9 - Reduce heat to low. Add salt, black pepper, paprika, and nutmeg (if using). Step 10 - Add the grated cheddar and Gruyère cheeses one handful at a time, stirring until completely melted before adding more. Step 11 - Once all cheese is melted and sauce is smooth, remove from heat. Step 12 - Add the cooked macaroni to the cheese sauce. Stir gently until every piece is coated. Step 13 - Pour the mac and cheese into the prepared baking dish and spread evenly. Step 14 - Make the topping: In a small bowl, mix breadcrumbs, grated Parmesan, and melted butter until combined. Step 15 - Sprinkle the breadcrumb mixture evenly over the mac and cheese. Step 16 - Bake for 20-25 minutes until bubbly and the top is golden brown and crispy. Step 17 - Let it rest for 5-10 minutes before serving (the sauce will set slightly).","Serve hot as a main dish or side dish. Pairs well with fried chicken, barbecue ribs, or a simple green salad.","Add cooked bacon, lobster, truffle oil, or caramelized onions for variations. For stovetop mac and cheese (not baked), skip the breadcrumb topping and serve immediately after mixing.",
80,Hamburger,Hamburger,western,main,American,"Classic American hamburger with a juicy beef patty, melted cheese, fresh vegetables, and signature sauce in a soft bun.","500g ground beef (80/20 lean to fat ratio for juiciness)|4 hamburger buns (brioche or potato buns)|4 slices American or cheddar cheese|1 large tomato (sliced)|1 onion (thinly sliced into rings)|4 leaves lettuce (iceberg or romaine)|8 pickles (sliced)|2 tablespoons butter (for toasting buns)|For seasoning: 1 teaspoon salt, 1 teaspoon black pepper, 1 teaspoon garlic powder|For sauce: 4 tablespoons mayonnaise, 2 tablespoons ketchup, 1 tablespoon mustard, 1 tablespoon sweet pickle relish, 1 teaspoon white vinegar, 1/2 teaspoon paprika",ground beef|burger buns|cheese|tomato|onion|lettuce|pickles|butter|salt|pepper|garlic powder|mayonnaise|ketchup|mustard|relish|vinegar|paprika,"Step 1 - Make the patties: Divide ground beef into 4 equal portions (about 125g each). Gently shape each portion into a ball, then flatten into a patty about 2cm thick. Make a small indentation in the center with your thumb (this prevents the patty from bulging during cooking). Step 2 - Season both sides of each patty generously with salt, pepper, and garlic powder. Step 3 - Refrigerate patties for 15-30 minutes while preparing other ingredients. Step 4 - Make the special sauce: In a small bowl, mix mayonnaise, ketchup, mustard, sweet relish, white vinegar, and paprika. Stir until well combined. Refrigerate until ready to use. Step 5 - Prepare all toppings: Slice tomato, onion rings, lettuce leaves, and pickles. Set aside. Step 6 - Heat a large cast iron skillet, grill pan, or outdoor grill over medium-high heat. Step 7 - Cook the patties: Place patties on the hot surface. Do not press down with a spatula (this releases juices). Step 8 - Cook for 3-4 minutes until a brown crust forms. Flip once (only once). Step 9 - Cook for another 3-4 minutes for medium. Adjust time for desired doneness: 2 minutes for rare, 4 minutes for medium-well. Step 10 - Add cheese slice to each patty during the last minute of cooking. Cover the pan or grill to help the cheese melt. Step 11 - While patties are cooking, toast the buns: Spread butter on the cut sides of each bun. Place cut-side down on a separate skillet or grill for 1-2 minutes until golden brown. Step 12 - Assemble the burgers: Spread special sauce on the bottom bun. Step 13 - Add lettuce leaf, then the cheeseburger patty. Step 14 - Top with tomato slices, onion rings, and pickles. Step 15 - Spread more sauce on the top bun (optional). Step 16 - Place the top bun on the burger. Step 17 - Press down gently and serve immediately.","Serve hot with french fries, onion rings, coleslaw, or a dill pickle spear on the side. A cold soda or milkshake completes the meal.","For cheeseburger variations: add crispy bacon (bacon cheeseburger), fried egg, jalapeños for heat, or mushrooms and Swiss cheese. For a healthier version, use ground turkey or a plant-based patty.",
81,Pizza Margherita,Pizza Margherita,western,main,Italian,"Classic Neapolitan pizza with simple, high-quality toppings: tomato sauce, fresh mozzarella, basil leaves, and olive oil.","For the dough: 500g strong bread flour (00 flour is best), 325ml warm water (about 30°C), 10g salt, 5g active dry yeast, 1 tablespoon olive oil|For the toppings: 200g San Marzano tomatoes (crushed) or good quality tomato sauce, 200g fresh mozzarella cheese (buffalo or fior di latte, torn into pieces), Fresh basil leaves (about 12-15 leaves), 2 tablespoons extra virgin olive oil, Salt to taste, Grated Parmesan cheese (optional)",flour|water|salt|yeast|olive oil|tomatoes|mozzarella|basil,"Step 1 - Make the dough: In a small bowl, dissolve yeast in warm water with a pinch of sugar (optional, to activate). Let sit for 5-10 minutes until foamy. Step 2 - In a large bowl or stand mixer with a dough hook, combine flour and salt. Step 3 - Add the yeast mixture and olive oil. Mix on low speed until dough comes together, about 3-5 minutes. Step 4 - Increase speed to medium and knead for 8-10 minutes until dough is smooth, elastic, and slightly sticky. If kneading by hand, knead for 12-15 minutes. Step 5 - Shape dough into a ball. Place in a lightly oiled bowl, cover with a damp cloth or plastic wrap. Step 6 - Let rise at room temperature for 1.5 to 2 hours until doubled in size. Step 7 - Punch down the dough and divide into 2 equal portions (for 2 pizzas). Shape each into a ball. Step 8 - Place dough balls on a floured baking sheet, cover, and let rise for another 30-60 minutes. Step 9 - While dough rises, prepare the toppings: Crush San Marzano tomatoes by hand or with a fork. Add a pinch of salt. Do not cook the sauce. Step 10 - Tear fresh mozzarella into small pieces. Place on a paper towel to drain excess moisture. Step 11 - Place a pizza stone or overturned baking sheet in the oven. Preheat oven to the highest temperature possible (250°C / 480°F or higher) for at least 45 minutes. Step 12 - Stretch the dough: On a floured surface, gently press one dough ball with fingertips to flatten. Step 13 - Lift the dough and gently stretch it over your knuckles, rotating, until it forms a 30-33cm (12-13 inch) circle. Do not use a rolling pin — this crushes air bubbles. Step 14 - Transfer stretched dough to a piece of parchment paper or a lightly floured pizza peel. Step 15 - Top the pizza: Spread a thin layer of tomato sauce over the dough, leaving a 2cm border for the crust. Step 16 - Scatter torn mozzarella pieces over the sauce. Step 17 - Drizzle with a little olive oil. Step 18 - Quickly transfer the pizza onto the hot pizza stone in the oven. Step 19 - Bake for 7-10 minutes until the crust is puffed, golden brown, and slightly charred in spots, and the cheese is bubbly and melted. Step 20 - Remove pizza from the oven. Step 21 - Immediately scatter fresh basil leaves over the hot pizza. Step 22 - Drizzle with extra virgin olive oil and sprinkle with a little salt. Add grated Parmesan if desired. Step 23 - Slice and serve immediately.","Serve hot as a main course with a simple green salad. Pizza Margherita is best eaten fresh, not reheated.","For a pizza Margherita, less is more. Do not overload with toppings. Use the highest quality ingredients you can find, especially tomatoes and mozzarella. If you don't have a pizza stone, use an overturned baking sheet preheated in the oven.",
82,Pancakes,Pancakes,western,breakfast,American,"Fluffy, golden breakfast pancakes served with butter and maple syrup — a classic American morning favorite.",200g all-purpose flour|2 tablespoons sugar|1 tablespoon baking powder|1/2 teaspoon salt|1 large egg|300ml milk|2 tablespoons melted butter (plus extra for cooking)|1 teaspoon vanilla extract|For serving: Butter|Maple syrup|Fresh berries (optional),flour|sugar|baking powder|salt|egg|milk|butter|vanilla,"Step 1 - In a large bowl, whisk together flour, sugar, baking powder, and salt until well combined. Step 2 - In a separate bowl, whisk the egg, milk, melted butter, and vanilla extract until smooth. Step 3 - Pour the wet ingredients into the dry ingredients. Stir gently with a spatula or wooden spoon until just combined. The batter should be slightly lumpy. Do not overmix — overmixing makes pancakes tough. Step 4 - Let the batter rest for 5-10 minutes while you heat the pan. This allows the baking powder to activate. Step 5 - Heat a non-stick skillet or griddle over medium heat. Step 6 - Add a small amount of butter to the pan and swirl to coat the surface. Step 7 - Pour 1/4 cup (about 60ml) of batter onto the hot skillet for each pancake. Step 8 - Cook until bubbles form on the surface and the edges look set (about 2-3 minutes). Step 9 - Flip the pancake using a spatula. The cooked side should be golden brown. Step 10 - Cook for another 1-2 minutes until the second side is golden brown and the pancake is cooked through. Step 11 - Transfer to a plate and keep warm. Repeat with remaining batter, adding more butter to the pan as needed. Step 12 - Serve stacked on a plate. Place a pat of butter on top of the stack. Step 13 - Pour maple syrup generously over the pancakes. Add fresh berries if desired.","Serve hot for breakfast or brunch with crispy bacon, scrambled eggs, or fresh fruit on the side.","For buttermilk pancakes, replace milk with 300ml buttermilk and reduce baking powder to 1 teaspoon (add 1/2 teaspoon baking soda). For chocolate chip pancakes, sprinkle chocolate chips onto the batter after pouring into the pan.",
83,Waffles,Waffles,western,breakfast,American,"Crispy on the outside, fluffy on the inside — classic waffles made in a waffle iron, perfect for breakfast or dessert.",200g all-purpose flour|2 tablespoons sugar|1 tablespoon baking powder|1/2 teaspoon salt|2 large eggs (separated into yolks and whites)|300ml milk|100g melted butter|1 teaspoon vanilla extract|For serving: Butter|Maple syrup|Whipped cream|Fresh berries|Powdered sugar,flour|sugar|baking powder|salt|eggs|milk|butter|vanilla,"Step 1 - Preheat your waffle iron according to the manufacturer's instructions. Step 2 - In a large bowl, whisk together flour, sugar, baking powder, and salt. Step 3 - In a separate bowl, whisk the egg yolks, milk, melted butter, and vanilla extract until smooth. Step 4 - Pour the wet ingredients into the dry ingredients. Stir until just combined. The batter will be thick. Step 5 - In a clean, dry bowl, beat the egg whites with an electric mixer until stiff peaks form (about 2-3 minutes). Step 6 - Gently fold the beaten egg whites into the batter using a spatula. Do not overmix — a few white streaks are fine. This step makes waffles light and fluffy. Step 7 - Let the batter rest for 5 minutes. Step 8 - Lightly grease the waffle iron with cooking spray or a little butter (unless non-stick). Step 9 - Pour enough batter onto the center of the waffle iron to just cover the grid (about 1/2 to 3/4 cup depending on your iron). Step 10 - Close the lid and cook according to the manufacturer's instructions (usually 3-5 minutes) until golden brown and crisp. Step 11 - Carefully remove the waffle using a fork or silicone tongs. Step 12 - Repeat with remaining batter. Step 13 - Serve immediately — waffles are best hot and crisp. Step 14 - Top with a pat of butter, maple syrup, whipped cream, fresh berries, and a dusting of powdered sugar.","Serve for breakfast, brunch, or dessert. Pairs with fried chicken (chicken and waffles), bacon, or fresh fruit.","For savory waffles, reduce sugar to 1 tablespoon and add 1/2 cup shredded cheese and chopped chives. For chocolate waffles, add 2 tablespoons cocoa powder to the dry ingredients.",
84,Grilled Cheese Sandwich,Grilled Cheese Sandwich,western,main,American,"Crispy, buttery toasted bread with warm, melted cheese inside — the ultimate quick comfort food.","8 slices bread (white, sourdough, or Texas toast)|4 tablespoons butter (softened)|200g cheese (cheddar, American, mozzarella, or a mix)|Optional additions: Sliced tomato, cooked bacon, ham, avocado, or caramelized onions",bread|butter|cheese,"Step 1 - Soften butter at room temperature or microwave for 10 seconds. Step 2 - Spread butter generously on one side of each slice of bread. The buttered side will be the outside that touches the pan. Step 3 - Grate or slice the cheese thinly for even melting. Step 4 - Place 4 slices of bread on a cutting board, buttered side down. Step 5 - Divide the cheese evenly among the 4 slices of bread, spreading to the edges. Step 6 - Add any optional ingredients now (tomato slices, bacon, etc.) if desired. Step 7 - Top with the remaining 4 slices of bread, buttered side up. Step 8 - Heat a large non-stick skillet or griddle over medium-low heat. (Medium-low is important — too high and the bread burns before the cheese melts.) Step 9 - Place sandwiches in the skillet (cook in batches if needed). Step 10 - Cook for 3-4 minutes until the bottom is golden brown and crispy. Step 11 - Flip carefully using a spatula. Step 12 - Cook for another 3-4 minutes until the second side is golden brown and the cheese is completely melted and gooey. Step 13 - Remove from the pan. Let rest for 1 minute before slicing. Step 14 - Cut each sandwich in half diagonally or into rectangles.","Serve hot with tomato soup (classic pairing), a side salad, or pickles. Perfect for lunch or a quick dinner.","For extra crispy sandwiches, spread mayonnaise instead of butter on the outside of the bread — it creates an amazing golden crust. Use a panini press or waffle iron for a different texture.",
85,Shepherd's Pie,Shepherd's Pie,western,main,British,"Classic British comfort food of seasoned ground lamb (or beef) and vegetables topped with creamy mashed potatoes, baked until golden.","For the filling: 500g ground lamb (traditional) or ground beef|2 tablespoons olive oil|1 onion (finely chopped)|2 carrots (diced)|2 celery stalks (diced)|3 cloves garlic (minced)|2 tablespoons tomato paste|1 tablespoon Worcestershire sauce|250ml beef or lamb broth|100ml red wine (optional)|1 cup frozen peas|1 cup frozen corn|1 teaspoon fresh thyme (or 1/2 teaspoon dried)|Salt and black pepper to taste|For the topping: 1 kg potatoes (Russet or Yukon Gold), peeled and cut into chunks|100ml milk|4 tablespoons butter|1 egg yolk (optional, for richer topping)|1/2 cup grated cheddar cheese (optional)|Salt and pepper to taste",lamb|olive oil|onion|carrots|celery|garlic|tomato paste|Worcestershire sauce|broth|red wine|peas|corn|thyme|salt|pepper|potatoes|milk|butter|egg yolk|cheddar,"Step 1 - Preheat oven to 190°C (375°F). Step 2 - Make the mashed potato topping: Place peeled potato chunks in a large pot and cover with cold salted water. Step 3 - Bring to a boil and cook for 15-20 minutes until potatoes are fork-tender. Step 4 - Drain potatoes well. Return to the pot over low heat for 1 minute to dry out excess moisture. Step 5 - Add butter and milk to the potatoes. Mash until smooth and creamy. Step 6 - Stir in egg yolk (if using) and season with salt and pepper. Set aside. Step 7 - Make the filling: Heat olive oil in a large oven-safe skillet or Dutch oven over medium-high heat. Step 8 - Add ground lamb (or beef) and cook until browned, breaking it up with a spoon (about 8-10 minutes). Step 9 - Remove meat with a slotted spoon and set aside. Leave about 2 tablespoons of fat in the pan. Step 10 - Add onion, carrots, and celery. Cook for 5-7 minutes until softened. Step 11 - Add garlic and cook for 1 minute until fragrant. Step 12 - Stir in tomato paste and cook for 2 minutes until darkened. Step 13 - Return the meat to the pan. Add Worcestershire sauce, broth, red wine (if using), thyme, salt, and pepper. Step 14 - Bring to a simmer and cook for 10-15 minutes until the liquid has reduced and thickened. Step 15 - Stir in frozen peas and corn. Cook for 2 more minutes. Step 16 - Transfer the filling to a baking dish (if not using an oven-safe skillet). Spread evenly. Step 17 - Spoon the mashed potatoes over the filling. Spread gently with a fork. Step 18 - Create ridges on the potato surface with a fork — these will become crispy. Step 19 - Sprinkle grated cheddar cheese on top (optional). Step 20 - Place the dish on a baking sheet (to catch any drips). Step 21 - Bake for 20-25 minutes until the filling is bubbly and the potato topping is golden brown. Step 22 - If the top isn't browned enough, broil for 2-3 minutes. Step 23 - Let rest for 10-15 minutes before serving (this allows the filling to set).","Serve hot with crusty bread, peas, or a side salad. Leftovers reheat beautifully.","Cottage cheese pie uses ground beef instead of lamb. Add 1/2 cup of grated Parmesan to the mashed potatoes for extra flavor. For a healthier topping, use mashed cauliflower instead of potatoes.",
